Run,RELEASE_ALT,RELEASE_MASS,RunName,Fatalities,MASS_MEAN_DIAMETER,WIND_DIRECTION,Day
3425,120,1000,Run_3425,10,8.00E-05,280,1
3426,120,1000,Run_3426,9,1.00E-04,280,1
3427,120,1200,Run_3427,18,1.00E-05,280,1
3433,120,1400,Run_3433,24,1.00E-05,280,1
3448,120,1800,Run_3448,40,6.00E-05,280,1
3457,140,1000,Run_3457,10,1.00E-05,280,1
3460,140,1000,Run_3460,10,6.00E-05,280,1
3462,140,1000,Run_3462,8,1.00E-04,280,1
3464,140,1200,Run_3464,18,2.00E-05,280,1
3469,140,1400,Run_3469,25,1.00E-05,280,1
3494,160,1000,Run_3494,8,2.00E-05,280,1
3496,160,1000,Run_3496,8,6.00E-05,280,1
3497,160,1000,Run_3497,7,8.00E-05,280,1
3498,160,1000,Run_3498,6,1.00E-04,280,1
3501,160,1200,Run_3501,14,4.00E-05,280,1
3509,160,1400,Run_3509,22,8.00E-05,280,1
3510,160,1400,Run_3510,22,1.00E-04,280,1
3511,160,1600,Run_3511,32,1.00E-05,280,1
3516,160,1600,Run_3516,28,1.00E-04,280,1
3520,160,1800,Run_3520,54,6.00E-05,280,1
3529,180,1000,Run_3529,6,1.00E-05,280,1
3530,180,1000,Run_3530,6,2.00E-05,280,1
3531,180,1000,Run_3531,6,4.00E-05,280,1
3532,180,1000,Run_3532,6,6.00E-05,280,1
3534,180,1000,Run_3534,4,1.00E-04,280,1
3535,180,1200,Run_3535,10,1.00E-05,280,1
3536,180,1200,Run_3536,10,2.00E-05,280,1
3537,180,1200,Run_3537,10,4.00E-05,280,1
3539,180,1200,Run_3539,8,8.00E-05,280,1
3540,180,1200,Run_3540,8,1.00E-04,280,1
3547,180,1600,Run_3547,28,1.00E-05,280,1
3556,180,1800,Run_3556,42,6.00E-05,280,1
3566,200,1000,Run_3566,4,2.00E-05,280,1
3567,200,1000,Run_3567,4,4.00E-05,280,1
3568,200,1000,Run_3568,4,6.00E-05,280,1
3569,200,1000,Run_3569,3,8.00E-05,280,1
3570,200,1000,Run_3570,3,1.00E-04,280,1
3571,200,1200,Run_3571,7,1.00E-05,280,1
3572,200,1200,Run_3572,8,2.00E-05,280,1
3574,200,1200,Run_3574,8,6.00E-05,280,1
3575,200,1200,Run_3575,7,8.00E-05,280,1
3576,200,1200,Run_3576,6,1.00E-04,280,1
3579,200,1400,Run_3579,14,4.00E-05,280,1
3586,200,1600,Run_3586,22,6.00E-05,280,1
3593,200,1800,Run_3593,26,8.00E-05,280,1
